cell,arm,rollout,reward_mean,raw_reward_mean,mean_response_tokens,kl_to_init,response_entropy,credit_ess_ratio,credit_w_std,credit_w_max
Llama-base,grpo,1,-9.498377799987793,-9.13648509979248,356.609375,0.0,0.9200287461280823,,,
Llama-base,grpo,2,-4.211463451385498,-4.10117244720459,200.734375,0.0014365178067237139,0.8668503165245056,,,
Llama-base,grpo,3,-1.197998046875,-1.197998046875,269.796875,0.005303508602082729,0.9747239351272583,,,
Llama-base,grpo,4,-2.7584638595581055,-2.566028594970703,359.0625,0.009627066552639008,1.0582168102264404,,,
Llama-base,grpo,5,-4.1204833984375,-3.9219207763671875,392.875,0.010296501219272614,0.8635287284851074,,,
Llama-base,grpo,6,-6.742351531982422,-6.3323974609375,476.78125,0.013107448816299438,0.6770339608192444,,,
Llama-base,grpo,7,-7.593416690826416,-7.3902587890625,469.078125,0.011738444678485394,1.2577896118164062,,,
Llama-base,grpo,8,-1.009531021118164,-0.9185791015625,403.765625,0.017761845141649246,0.6501021385192871,,,
Llama-base,grpo,9,-0.4507269263267517,0.321502685546875,448.4375,0.016604874283075333,0.7464869618415833,,,
Llama-base,grpo,10,-4.077880859375,-4.077880859375,280.484375,0.03355875611305237,0.8717920780181885,,,
Llama-base,grpo,11,-2.092008113861084,-1.89593505859375,306.21875,0.08023597300052643,0.8583499193191528,,,
Llama-base,grpo,12,-4.610931396484375,-4.610931396484375,205.59375,0.0629313662648201,0.831494927406311,,,
Llama-base,grpo,13,-1.2020577192306519,-0.6138381958007812,332.734375,0.03521160036325455,0.625612735748291,,,
Llama-base,grpo,14,-4.9121551513671875,-4.9121551513671875,336.890625,0.030715906992554665,0.6011708974838257,,,
Llama-base,grpo,15,-8.228616714477539,-8.031585693359375,314.421875,0.03364831581711769,0.7771210670471191,,,
Llama-base,grpo,16,3.580718994140625,3.580718994140625,232.03125,0.037222228944301605,0.6437366604804993,,,
Llama-base,grpo,17,2.1319580078125,2.1319580078125,291.734375,0.038850970566272736,0.6705208420753479,,,
Llama-base,grpo,18,-2.2804739475250244,-1.8138427734375,379.375,0.04213994741439819,0.5024248361587524,,,
Llama-base,grpo,19,-1.134535312652588,-1.11328125,268.96875,0.049487706273794174,0.6983084082603455,,,
Llama-base,grpo,20,-4.571070194244385,-4.548858642578125,268.421875,0.038258615881204605,0.6702798008918762,,,
Llama-base,grpo,21,1.3454258441925049,1.5742416381835938,508.53125,0.0410488098859787,0.6832256317138672,,,
Llama-base,grpo,22,-3.1897125244140625,-3.1897125244140625,362.5625,0.05290107801556587,0.537467360496521,,,
Llama-base,grpo,23,3.53094482421875,3.53094482421875,226.015625,0.062745101749897,0.5584918856620789,,,
Llama-base,grpo,24,8.553634643554688,8.553634643554688,373.078125,0.06724999099969864,0.7467495203018188,,,
Llama-base,grpo,25,-2.5704851150512695,-2.53582763671875,273.0,0.05609346926212311,0.48828795552253723,,,
Llama-base,grpo,26,-2.204383373260498,-2.13372802734375,296.234375,0.0921451672911644,0.5339112877845764,,,
Llama-base,grpo,27,5.369990348815918,5.3770751953125,406.03125,0.058884404599666595,0.7518417239189148,,,
Llama-base,grpo,28,0.035306453704833984,0.33286285400390625,400.171875,0.07165303081274033,0.6514279842376709,,,
